ID,Lat,Long,Location,Date,Year,Month,Day,Season,Time,NightDay,Type,CoyoteNumber,CoyoteYoung,HumanActivity,VulnerableIndividual,DogPresent,Hazing,CoyoteResponse,HumanPerception,Health,Classifier
29,53.60679179,-113.402735,Unknown,4/8/2012,2012,4,8,Breeding,3:00:00 PM,Day,Sighting,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mpruden
30,53.53240718,-113.5113108,High level bridge and Fortway Drive,4/16/2012,2012,4,16,Breeding,5:00:00 AM,Night,Sighting,One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mpruden
32,53.53631762,-113.5010165,crossing 105 street eastbound near 98 Avenue,4/18/2012,2012,4,18,Breeding,12:00:00 AM,Night,Sighting,One,Unknown,Driving,Unknown,Unknown,No,0,Unknown,Unknown,Mpruden
33,53.459394,-113.537292,119 st &amp; 28 Ave NW,5/29/2012,2012,5,29,PupRearing,6:00:00 PM,Day,Sighting,One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unhealthy,JFarr
34,53.46638699,-113.5244751,35 ave and 108 st,7/17/2012,2012,7,17,PupRearing,Unknown,Unknown,Sighting,One,Unknown,Walking,Dog,Unknown,No,1,Unknown,Unknown,Mpruden
35,53.54635111,-113.5323286,122 st. and 104 ave,1/8/2012,2012,1,8,Breeding,6:00:00 AM,Night,Encounter,One,Unknown,Walking,Dog,Unknown,No,1,Neutral,Unknown,Mpruden
36,53.5600929,-113.4853363,50 street and 153 avenue ,9/2/2012,2012,9,2,Dispersal,12:00:00 AM,Night,Sighting,One,Unknown,Driving,Unknown,Unknown,No,1,Unknown,Unknown,Mpruden
37,53.55945562,-113.6387426,111 Ave NW &amp; 184 St NW,9/25/2012,2012,9,25,Dispersal,12:00:00 AM,Night,Sighting,One,Unknown,Driving,Unknown,Unknown,No,0,Unknown,Unknown,Mpruden
38,53.57538463,-113.6123657,Ray Gibbon &amp; Giroux Road,9/19/2012,2012,9,19,Dispersal,11:00:00 PM,Night,Encounter,Two,Unknown,HomeYard,Cat,Unknown,No,9,Negative,Unknown,Mpruden
39,53.55213901,-113.5658455,142 street and 107 avenue,10/22/2012,2012,10,22,Dispersal,5:00:00 AM,Night,Sighting,One,Unknown,Driving,Cat,Unknown,No,3,Unknown,Unknown,Mpruden
40,53.5527509,-113.5655022,109 avenue and 142 Street,7/1/2012,2012,7,1,PupRearing,6:00:00 AM,Day,Sighting,One,Unknown,Cycling,Unknown,Unknown,No,0,Neutral,Healthy,Mpruden
41,53.60302,-113.563438,141 ave and 140th st,11/2/2012,2012,11,2,Dispersal,6:00:00 AM,Night,Encounter,One,Unknown,Walking,Unknown,Unknown,No,3,Unknown,Unknown,AHoron
42,53.60453828,-113.5167718,Castledowns Road between 139 and 145 Ave.,11/5/2012,2012,11,5,Dispersal,8:00:00 PM,Night,Sighting,One,Unknown,Driving,Unknown,Unknown,No,0,Unknown,Unhealthy,AHoron
43,53.600019,-113.466932,137 Ave &amp; 82 St,11/6/2012,2012,11,6,Dispersal,9:00:00 PM,Night,Sighting,One,Unknown,Driving,Unknown,Unknown,No,3,Neutral,Unknown,AHoron
44,53.44880684,-113.4688568,28 ave and 91 street ,11/9/2012,2012,11,9,Dispersal,8:00:00 AM,Day,Encounter,One,Unknown,HomeYard,Dog,HomeYard,No,3,Unknown,Unknown,Mpruden
45,53.4662337,-113.523531,34 Ave &amp; 113St,11/18/2012,2012,11,18,Dispersal,5:00:00 PM,Day,Sighting,Two,Unknown,Unknown,Unknown,Unknown,No,3,Unknown,Unknown,Mpruden
46,53.502304,-113.4546947,Argyll Road and 83 Street NW,11/18/2012,2012,11,18,Dispersal,12:00:00 AM,Night,Sighting,One,Unknown,Unknown,Unknown,Unknown,Unknown,1,Unknown,Unknown,Mpruden
47,53.53761995,-113.5011131,99 ave and 105 street,11/21/2012,2012,11,21,Dispersal,Night,Night,Encounter,One,Unknown,Walking,Dog,Unknown,Yes,1,Unknown,Unknown,AHoron
48,53.48427907,-113.4664106,91 Street just north of Whitemud Fwy,11/22/2012,2012,11,22,Dispersal,Night,Night,Sighting,One,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Mpruden
49,53.55080047,-113.5659957,"142nd St, 107 Ave traffic circle",11/22/2012,2012,11,22,Dispersal,Night,Night,Sighting,Two,Unknown,Driving,Unknown,Unknown,No,0,Unknown,Unknown,Mpruden
50,53.570136,-113.566231,142 st 118 ave,11/26/2012,2012,11,26,Dispersal,Morning,Day,Sighting,Three,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AHoron
51,53.47834142,-113.4177017,44th avenue and 50th street,11/9/2012,2012,11,9,Dispersal,Evening,Unknown,Sighting,One,Unknown,Driving,Unknown,Unknown,No,3,Unknown,Unknown,Mpruden
52,53.54905393,-113.5359764,124 street and 106 ave,11/27/2012,2012,11,27,Dispersal,2:00:00 PM,Day,Sighting,One,Unknown,Unknown,Unknown,Unknown,No,0,Unknown,Unknown,Mpruden
53,53.610027,-113.502122,105 st -149 ave,12/8/2012,2012,12,8,Dispersal,Afternoon,Day,Sighting,One,Unknown,Unknown,Multiple,Unknown,Unknown,0,Negative,Unhealthy,AHoron
54,53.57698357,-113.4572697,Fort road and william short road,12/27/2012,2012,12,27,Dispersal,9:00:00 PM,Night,Sighting,One,Unknown,Unknown,Unknown,Unknown,No,4,Unknown,Healthy,Mpruden
55,53.6010623,-113.5649872,125 street 147 avenue,12/28/2012,2012,12,28,Dispersal,4:00:00 PM,Day,Sighting,One,Unknown,Walking,Dog,Unknown,No,0,Negative,Unknown,Mpruden
56,53.61047099,-113.4969878,148 ave 102 st,1/1/2013,2013,1,1,Breeding,2:00:00 PM,Day,Sighting,One,Unknown,HomeYard,Unknown,Unknown,No,0,Unknown,Unhealthy,Mpruden
57,53.46475193,-113.5162354,"Just south of 34th Ave, 111 Street",1/7/2013,2013,1,7,Breeding,7:00:00 AM,Night,Sighting,One,Unknown,Walking,Unknown,Unknown,No,Unknown,Unknown,Healthy,Mpruden
58,53.62185664,-113.400203,Manning Drive and 160 Ave in the Husky Gas Dation parking lot.,1/7/2013,2013,1,7,Breeding,Morning,Day,Sighting,One,Unknown,Driving,Unknown,Unknown,No,Unknown,Unknown,Healthy,Mpruden
59,53.55693192,-113.6044693,"On mayfield road, directly in front of the mayfield hotel",12/22/2012,2012,12,22,Dispersal,12:00:00 AM,Night,Encounter,One,Unknown,Driving,Unknown,Unknown,No,1,Unknown,Unknown,Mpruden
60,53.55078772,-113.5610604,107-139st,11/1/2013,2013,11,1,Dispersal,6:00:00 AM,Night,Sighting,One,Unknown,Driving,Unknown,Unknown,No,Unknown,Unknown,Unknown,Mpruden
61,53.56285856,-113.4488153,Unknown,1/8/2013,2013,1,8,Breeding,12:00:00 AM,Night,Sighting,One,Unknown,Walking,Unknown,Unknown,No,1,Neutral,Healthy,Mpruden
62,53.484428,-113.465479,North East corner of intersection of whitemud and 91st,1/10/2013,2013,1,10,Breeding,11:00:00 AM,Day,Sighting,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AHoron
63,53.47281164,-113.4733844,39 ave,1/11/2013,2013,1,11,Breeding,4:00:00 PM,Day,Sighting,One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unhealthy,Mpruden
64,53.53402209,-113.5282704,Victorial Oval parking lot,1/11/2013,2013,1,11,Breeding,6:00:00 AM,Night,Sighting,More,Unknown,OutdoorAct,Unknown,Unknown,No,1,Unknown,Healthy,Mpruden
65,53.60419452,-113.5360193,142 ave  127 st,12/19/2012,2012,12,19,Dispersal,12:00:00 PM,Day,Sighting,One,Unknown,Driving,Unknown,Unknown,No,3,Unknown,Unknown,Mpruden
66,53.58763951,-113.4382796,129AV/ 63 ST,1/4/2013,2013,1,4,Breeding,5:00:00 AM,Night,Sighting,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mpruden
67,53.55105544,-113.5651803,142 St and 107 Ave,12/28/2012,2012,12,28,Dispersal,5:00:00 AM,Night,Sighting,One,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Healthy,Mpruden
68,53.48528775,-113.5296249,Unknown,1/12/2013,2013,1,12,Breeding,Unknown,Unknown,Sighting,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mpruden
69,53.54999733,-113.6285019,178St NW,1/13/2013,2013,1,13,Breeding,1:00:00 PM,Day,Sighting,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unhealthy,Mpruden
70,53.46395993,-113.515377,34 ave -- 111 st,11/28/2012,2012,11,28,Dispersal,Evening,Unknown,Encounter,One,Unknown,Walking,Dog,OffLeash,No,1,Unknown,Unknown,Mpruden
71,53.54716708,-113.5173941,Safeway parking lot at Oliver Square.,12/30/2012,2012,12,30,Dispersal,3:00:00 PM,Day,Sighting,One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unhealthy,Mpruden
72,53.47762629,-113.4177017,50 street just north of 40 avenue,1/16/2013,2013,1,16,Breeding,12:00:00 AM,Night,Encounter,One,Unknown,Driving,Unknown,Unknown,No,2,Unknown,Unknown,Mpruden
73,53.48865835,-113.4803581,51 ave.97 st.,1/16/2013,2013,1,16,Breeding,6:00:00 AM,Night,Sighting,One,Unknown,Driving,Unknown,Unknown,Yes,3,Unknown,Unknown,Mpruden
74,53.407229,-113.514748,111 street &amp; 30 ave,1/15/2013,2013,1,15,Breeding,Evening,Unknown,Sighting,One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Healthy,AHoron
75,53.571988,-113.455238,coliseum,1/2/2013,2013,1,2,Breeding,Afternoon,Day,Encounter,One,Unknown,Unknown,Unknown,Unknown,Unknown,9,Unknown,Unknown,AHoron
76,53.45396282,-113.5336643,119st and 23rd ave,1/16/2013,2013,1,16,Breeding,10:00:00 PM,Night,Sighting,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mpruden
77,53.48551757,-113.5308695,116 street and 48 ave,1/22/2013,2013,1,22,Breeding,9:00:00 PM,Night,Encounter,One,Unknown,Walking,Dog,Unknown,No,3,Unknown,Healthy,Mpruden
78,53.47834142,-113.4875679,44 and 99 st,1/25/2013,2013,1,25,Breeding,3:00:00 PM,Day,Sighting,One,Unknown,Unknown,Unknown,Unknown,Unknown,1,Unknown,Unhealthy,Mpruden
79,53.60188357,-113.4058464,139 Ave and 42 St but it wasn&#039;t on the street,3/2/2013,2013,3,2,Breeding,3:00:00 PM,Day,Sighting,One,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unhealthy,Mpruden
80,53.44504967,-113.5205483,12 ave and twin brooks dr NW,1/27/2013,2013,1,27,Breeding,6:00:00 PM,Night,Sighting,Three,Unknown,Walking,Dog,Unknown,No,Unknown,Unknown,Unknown,Mpruden
81,53.52763063,-113.519969,"In front of Rutherford house, on the edge of Saskatchewan dr.",2/9/2013,2013,2,9,Breeding,11:00:00 PM,Night,Sighting,One,Unknown,Driving,Unknown,Unknown,Yes,3,Unknown,Unhealthy,Mpruden
82,53.49410629,-113.5173404,111 St &amp; 57 Ave,2/7/2013,2013,2,7,Breeding,6:00:00 AM,Night,Sighting,One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mpruden
83,53.482936,-113.486632,45 Avenue &amp; 99 Street,2/11/2013,2013,2,11,Breeding,6:00:00 PM,Day,Sighting,One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unhealthy,AHoron
84,53.50557116,-113.5429394,Fox Drive &amp; Belgravia Road,2/12/2013,2013,2,12,Breeding,11:00:00 PM,Night,Sighting,One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mpruden
85,53.5268398,-113.5306549,108th Street and 73 Avenue,2/20/2013,2013,2,20,Breeding,11:00:00 PM,Night,Sighting,Two,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mpruden
86,53.50298043,-113.5406756,Fox Drive &amp; 122 Street,2/23/2018,2018,2,23,Breeding,10:00:00 PM,Night,Sighting,One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mpruden
87,53.58594544,-113.4927392,97th Street NW and 128th Avenue NW,2/14/2013,2013,2,14,Breeding,9:00:00 PM,Night,Sighting,One,Unknown,Driving,Unknown,Unknown,No,1,Unknown,Healthy,Mpruden
88,53.48559418,-113.463707,Whitemud Exit on 91st. ,3/5/2013,2013,3,5,Breeding,8:00:00 AM,Day,Sighting,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mpruden
89,53.52928877,-113.4070587,106B Avenue &amp; 63 Street,3/6/2013,2013,3,6,Breeding,7:00:00 AM,Day,Sighting,One,Unknown,Driving,Unknown,Unknown,No,0,Unknown,Unknown,Mpruden
90,53.50434281,-113.5264707,South Campus Station,3/5/2013,2013,3,5,Breeding,9:00:00 PM,Night,Sighting,One,Unknown,Unknown,Unknown,Unknown,No,2,Unknown,Healthy,Mpruden
91,53.54571363,-113.6032677,104 ave 165 St,3/8/2013,2013,3,8,Breeding,8:00:00 PM,Night,Sighting,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mpruden
92,53.6006039,-113.405385,139 ave &amp; 42 street,3/7/2013,2013,3,7,Breeding,6:00:00 PM,Day,Sighting,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mpruden
93,53.45943757,-113.4427643,71 St and 34 Ave,1/1/2013,2013,1,1,Breeding,7:00:00 AM,Night,Sighting,One,Unknown,Unknown,Unknown,Unknown,No,0,Unknown,Unknown,Mpruden
94,53.465706,-113.394705,34st and 34 ave about a 100yds into the creek trail off of 34st southbound,6/8/2013,2013,6,8,PupRearing,9:00:00 AM,Day,Encounter,One,Unknown,Walking,Dog,Unknown,Yes,5,Unknown,Healthy,Ahamid
95,53.42485239,-113.4685725,Ellerslie Road.   Near a fake lake,3/14/2013,2013,3,14,Breeding,2:00:00 PM,Day,Sighting,One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mpruden
96,53.47738063,-113.4676618,41 ave 91 street,4/21/2015,2015,4,21,Breeding,10:00:00 AM,Day,Sighting,Two,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Healthy,Mpruden
97,53.51204091,-113.3934975,34 st and 76 ave,3/24/2013,2013,3,24,Breeding,Evening,Unknown,Sighting,One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mpruden
98,53.54112347,-113.5931396,164 Street and 105 Avenue,4/3/2013,2013,4,3,Breeding,Evening,Unknown,Sighting,One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Healthy,HDunsireÂ 
99,53.52488769,-113.5042987,queen elisabeth park road and walterdale hill nw,10/20/2014,2014,10,20,Dispersal,9:00:00 AM,Day,Sighting,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,Mpruden
100,53.55820654,-113.6233521,109A Ave and 177 St,4/4/2013,2013,4,4,Breeding,8:00:00 PM,Day,Sighting,One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mpruden
101,53.53091194,-113.5308761,116 st. Sask dr,2/4/2019,2019,2,4,Breeding,Afternoon,Day,Sighting,One,Unknown,Driving,Unknown,Unknown,No,1,Unknown,Healthy,Mpruden
102,53.46636463,-113.5107851,111 Street 34 Ave,4/27/2013,2013,4,27,Breeding,10:00:00 PM,Night,Sighting,One,Unknown,Driving,Unknown,Unknown,No,1,Unknown,Unknown,Mpruden
103,53.54859497,-113.6327934,180 Street &amp; 105 Ave,5/21/2013,2013,5,21,PupRearing,7:00:00 AM,Day,Encounter,One,Unknown,Unknown,Unknown,Unknown,No,0,Unknown,Unknown,Mpruden
104,53.45333033,-113.5352468,23 Ave 111 st,5/30/2013,2013,5,30,PupRearing,6:00:00 AM,Day,Sighting,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mpruden
105,53.51040762,-113.5531425,"Laurier Park off leash area, North of Hawrelak Park - other side of wooden bridges",2/6/2013,2013,2,6,Breeding,5:00:00 PM,Day,Encounter,Two,Unknown,Unknown,Dog,Unknown,No,3,Unknown,Unknown,Mpruden
106,53.524825,-113.51294,109th street and High Level Bridge,4/19/2015,2015,4,19,Breeding,Night,Night,Sighting,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AHoron
107,53.62346655,-113.4411764,64 St and 163 Ave,6/28/2013,2013,6,28,PupRearing,Night,Night,Sighting,One,Unknown,HomeYard,Multiple,HomeYard,No,3,Negative,Unknown,Mpruden
108,53.59882687,-113.6049802,137 ave &amp; 163 Street ,1/30/2015,2015,1,30,Breeding,8:00:00 PM,Night,Sighting,Unknown,Unknown,Walking,Dog,Unknown,Unknown,7,Unknown,Unknown,Mpruden
109,53.47734535,-113.417412,40 ave &amp; 50 st,7/19/2013,2013,7,19,PupRearing,6:00:00 PM,Day,Sighting,One,Unknown,Unknown,Unknown,Unknown,No,3,Unknown,Unknown,Mpruden
110,53.53568812,-113.5140748,Unknown,3/3/2015,2015,3,3,Breeding,5:00:00 PM,Day,Sighting,One,Unknown,Unknown,Unknown,Unknown,No,4,Unknown,Unknown,Mpruden
111,53.55101719,-113.5658455,Unknown,7/29/2013,2013,7,29,PupRearing,5:00:00 AM,Night,Sighting,Two,Unknown,Driving,Unknown,Unknown,No,3,Unknown,Unknown,Mpruden
112,53.5243749,-113.5069616,Walterdale hill and Fort HIll,5/27/2015,2015,5,27,PupRearing,8:00:00 AM,Day,Encounter,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mpruden
113,53.5243749,-113.5069616,Walterdale hill sidewalk and Fort Hill,5/27/2015,2015,5,27,PupRearing,8:00:00 AM,Day,Encounter,One,Unknown,Driving,Unknown,Unknown,No,Unknown,Concern,Unhealthy,Mpruden
114,53.505239,-113.558614,Fox drive bike trail,6/4/2020,2020,6,4,PupRearing,Morning,Day,Encounter,One,Unknown,Walking,Dog,Unknown,Yes,9,Unknown,Unknown,SRaymond
115,53.58360588,-113.5966006,128 Avenue 160 Street,10/23/2014,2014,10,23,Dispersal,12:00:00 PM,Day,Sighting,One,Yes,Unknown,Unknown,Unknown,No,0,Neutral,Unknown,Mpruden
116,53.46602303,-113.39359,23 ave &amp; 34 st,3/3/2019,2019,3,3,Breeding,Afternoon,Day,Sighting,One,Unknown,Driving,Unknown,Unknown,No,3,Unknown,Unknown,Mpruden
117,53.52439068,-113.4860229,114ave 68street,8/21/2013,2013,8,21,PupRearing,Night,Night,Sighting,One,Unknown,Unknown,Cat,Unknown,No,5,Negative,Healthy,Mpruden
118,53.47871175,-113.4884262,42 &amp; 100 street,8/23/2013,2013,8,23,PupRearing,10:00:00 AM,Day,Sighting,One,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Healthy,Mpruden
119,53.59919014,-113.5651119,Unknown,11/17/2018,2018,11,17,Dispersal,10:00:00 AM,Day,Sighting,One,Unknown,Unknown,Unknown,Unknown,No,0,Unknown,Unknown,Mpruden
120,53.58420035,-113.5508251,135 street and 128 ave in open lawn area and by retaining wall off railroad tracks.,9/14/2013,2013,9,14,Dispersal,9:00:00 PM,Night,Sighting,Two,Unknown,Driving,Cat,Unknown,Yes,Unknown,Negative,Unknown,Mpruden
121,53.606631,-113.484826,Bus stop #7613,9/24/2013,2013,9,24,Dispersal,Morning,Day,Sighting,Two,Unknown,Walking,Unknown,Unknown,No,0,Negative,Unknown,SShikaze
122,53.438115,-113.613993,Windermere and Twillegar/170 street,2/3/2017,2017,2,3,Breeding,Unknown,Unknown,Sighting,One,Unknown,Driving,Unknown,Unknown,No,3,Unknown,Unknown,ACain
123,53.46662666,-113.3941157,34 st and Kaufman Way,2/20/2018,2018,2,20,Breeding,Morning,Day,Sighting,One,Unknown,Driving,Unknown,Unknown,No,Unknown,Neutral,Healthy,Mpruden
124,53.539397,-113.488021,Rossdale Road ramp entering onto Grierson Hill,6/19/2018,2018,6,19,PupRearing,Evening,Unknown,Sighting,One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,MElphick
125,53.51225699,-113.4699042,Mill Creek ravine at 76 Avenue,8/12/2020,2020,8,12,PupRearing,12:00:00 PM,Day,Sighting,One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,JButts
126,53.612341,-113.505219,152nd Avenue and 107 street,10/14/2013,2013,10,14,Dispersal,9:00:00 PM,Night,Encounter,One,Unknown,HomeYard,Dog,HomeYard,Unknown,2,Unknown,Healthy,JButts
127,53.52070399,-113.4555852,"84 Avenue and 83 Street, east side of parking lot at Bonnie Doon Mall by Target",10/23/2013,2013,10,23,Dispersal,11:00:00 PM,Night,Encounter,Two,Unknown,Driving,Unknown,Unknown,No,1,Unknown,Unknown,Mpruden
128,53.53220949,-113.5021698,"106st, 96ave",10/20/2013,2013,10,20,Dispersal,Unknown,Unknown,Encounter,One,Unknown,Walking,Dog,HomeYard,No,1,Unknown,Healthy,Mpruden
129,53.6159319,-113.4389877,Ozerna Rd &amp; 159 St,10/22/2013,2013,10,22,Dispersal,6:00:00 PM,Day,Encounter,One,Unknown,Cycling,Child,Unknown,Yes,3,Unknown,Unknown,Mpruden
130,53.6026921,-113.4448242,Ozerna Road &amp; 159 Avenue,10/26/2013,2013,10,26,Dispersal,7:00:00 PM,Night,Encounter,Two,Unknown,Walking,Unknown,Unknown,Yes,8,Negative,Unknown,Mpruden
131,53.55335641,-113.6069155,Mayfield dr ,10/29/2013,2013,10,29,Dispersal,Evening,Unknown,Encounter,One,Unknown,HomeYard,Dog,HomeYard,Yes,1,Unknown,Unknown,Mpruden
132,53.57398312,-113.3814919,Crossed Yellowhead going from Rundle Park area to Canon Ridge area.,10/31/2013,2013,10,31,Dispersal,9:00:00 AM,Day,Sighting,One,Unknown,Driving,Unknown,Unknown,No,3,Unknown,Healthy,Mpruden
133,53.53717044,-113.5147119,113th street,11/3/2013,2013,11,3,Dispersal,7:00:00 AM,Night,Sighting,One,Unknown,Driving,Unknown,Unknown,No,2,Unknown,Unknown,Mpruden
134,53.52464278,-113.498754,closer to Sask Dr than Walterdale Rd instrrsection,4/22/2016,2016,4,22,Breeding,8:00:00 AM,Day,Sighting,One,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Healthy,Mpruden
135,53.558608,-113.565207,111ave 142st,11/17/2013,2013,11,17,Dispersal,Night,Night,Sighting,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Unknown,Unknown,SRaymond
136,53.552222,-113.460674,Riverside Golf Course,1/18/2018,2018,1,18,Breeding,Evening,Unknown,Encounter,More,Unknown,Walking,Dog,OffLeash,No,1,Unknown,Unknown,MElphick
137,53.561535,-113.418459,Goldbar ravine (between capilano and goldbar park near boat launch),10/3/2020,2020,10,3,Dispersal,Unknown,Unknown,Encounter,One,Unknown,Cycling,Child,Unknown,Unknown,6,Unknown,Unknown,DCurrie
138,53.61414301,-113.4183736,50 ST &amp; 153 Ave,11/29/2013,2013,11,29,Dispersal,9:00:00 AM,Day,Sighting,One,Unknown,Driving,Unknown,Unknown,No,0,Unknown,Healthy,Mpruden
139,53.53170907,-113.5334081,Emily Murphy Park Road near 116 St,3/19/2015,2015,3,19,Breeding,11:00:00 PM,Night,Sighting,One,Unknown,Driving,Unknown,Unknown,No,3,Unknown,Unknown,Mpruden
140,53.51221652,-113.4692497,"Mill Creek Ravine, 76 Avenue",1/11/2017,2017,1,11,Breeding,Afternoon,Day,Encounter,One,Unknown,Walking,Unknown,Unknown,No,4,Unknown,Healthy,Mpruden
141,53.56131,-113.619305,174st and 111ave ,12/9/2013,2013,12,9,Dispersal,10:00:00 AM,Day,Sighting,One,Unknown,HomeYard,Dog,Unknown,Unknown,Unknown,Unknown,Unknown,HDunsireÂ 
142,53.50321989,-113.5601337,"Fox drive, right in front of the whitemud park sign",11/16/2019,2019,11,16,Dispersal,Night,Night,Sighting,One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,HDunsireÂ 
143,53.48071355,-113.4184809,50 Street &amp; 44Ave NW,11/13/2016,2016,11,13,Dispersal,11:00:00 AM,Day,Sighting,One,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unhealthy,Mpruden
144,53.54883403,-113.4399117,Unknown,1/28/2015,2015,1,28,Breeding,8:00:00 AM,Night,Sighting,One,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Mpruden
